"Local Authorities","Name","Mean Length of Stay for Emerg Admissions(FY 01/02)","Numerator","Mean Length of Stay for Emerg Admissions(FY 02/03)","Numerator","Mean Length of Stay for Emerg Admissions(FY 03/04)","Numerator","Mean Length of Stay for Emerg Admissions(FY 04/05)","Numerator","Mean Length of Stay for Emerg Admissions(FY 05/06)","Numerator","Mean Length of Stay for Emerg Admissions(FY 06/07)","Numerator","Mean Length of Stay for Emerg Admissions(FY 07/08)","Numerator","Mean Length of Stay for Emerg Admissions(FY 08/09)","Numerator","Mean Length of Stay for Emerg Admissions(FY 09/10)","Numerator","Mean Length of Stay for Emerg Admissions(FY 10/11)","Numerator","Mean Length of Stay for Emerg Admissions(FY 11/12)","Numerator","Mean Length of Stay for Emerg Admissions - 2 Yr Range (FY 02/03 - 03/04)","Numerator","Mean Length of Stay for Emerg Admissions - 2 Yr Range (FY 04/05 - 05/06)","Numerator","Mean Length of Stay for Emerg Admissions - 2 Yr Range (FY 06/07 - 07/08)","Numerator","Mean Length of Stay for Emerg Admissions - 2 Yr Range (FY 08/09 - 09/10)","Numerator","Mean Length of Stay for Emerg Admissions - 2 Yr Range (FY 10/11 - 11/12)","Numerator","Mean Length of Stay for Emerg Admissions - 3 Yr Range(FY 03/04 - 05/06)","Numerator","Mean Length of Stay for Emerg Admissions - 3 Yr Range(FY 06/07 - 08/09)","Numerator","Mean Length of Stay for Emerg Admissions - 3 Yr Range(FY 09/10 - 11/12)","Numerator","Median Length of Stay for Emerg Admissions(FY 01/02)","Numerator","Median Length of Stay for Emerg Admissions(FY 02/03)","Numerator","Median Length of Stay for Emerg Admissions(FY 03/04)","Numerator","Median Length of Stay for Emerg Admissions(FY 04/05)","Numerator","Median Length of Stay for Emerg Admissions(FY 05/06)","Numerator","Median Length of Stay for Emerg Admissions(FY 06/07)","Numerator","Median Length of Stay for Emerg Admissions(FY 07/08)","Numerator","Median Length of Stay for Emerg Admissions(FY 08/09)","Numerator","Median Length of Stay for Emerg Admissions(FY 09/10)","Numerator","Median Length of Stay for Emerg Admissions(FY 10/11)","Numerator","Median Length of Stay for Emerg Admissions(FY 11/12)","Numerator","Median Length of Stay for Emerg Admissions - 2 Yr Range (FY 02/03 - 03/04)","Numerator","Median Length of Stay for Emerg Admissions - 2 Yr Range (FY 04/05 - 05/06)","Numerator","Median Length of Stay for Emerg Admissions - 2 Yr Range (FY 06/07 - 07/08)","Numerator","Median Length of Stay for Emerg Admissions - 2 Yr Range (FY 08/09 - 09/10)","Numerator","Median Length of Stay for Emerg Admissions - 2 Yr Range (FY 10/11 - 11/12)","Numerator","Median Length of Stay for Emerg Admissions - 3 Yr Range(FY 03/04 - 05/06)","Numerator","Median Length of Stay for Emerg Admissions - 3 Yr Range(FY 06/07 - 08/09)","Numerator","Median Length of Stay for Emerg Admissions - 3 Yr Range(FY 09/10 - 11/12)","Numerator","Mean Length of Stay for Emerg Admissions(FY 01/02)","Numerator","Mean Length of Stay for Emerg Admissions(FY 02/03)","Numerator","Mean Length of Stay for Emerg Admissions(FY 03/04)","Numerator","Mean Length of Stay for Emerg Admissions(FY 04/05)","Numerator","Mean Length of Stay for Emerg Admissions(FY 05/06)","Numerator","Mean Length of Stay for Emerg Admissions(FY 06/07)","Numerator","Mean Length of Stay for Emerg Admissions(FY 07/08)","Numerator","Mean Length of Stay for Emerg Admissions(FY 08/09)","Numerator","Mean Length of Stay for Emerg Admissions(FY 09/10)","Numerator","Mean Length of Stay for Emerg Admissions(FY 10/11)","Numerator","Mean Length of Stay for Emerg Admissions(FY 11/12)","Numerator","Mean Length of Stay for Emerg Admissions - 2 Yr Range (FY 02/03 - 03/04)","Numerator","Mean Length of Stay for Emerg Admissions - 2 Yr Range (FY 04/05 - 05/06)","Numerator","Mean Length of Stay for Emerg Admissions - 2 Yr Range (FY 06/07 - 07/08)","Numerator","Mean Length of Stay for Emerg Admissions - 2 Yr Range (FY 08/09 - 09/10)","Numerator","Mean Length of Stay for Emerg Admissions - 2 Yr Range (FY 10/11 - 11/12)","Numerator","Mean Length of Stay for Emerg Admissions - 3 Yr Range(FY 03/04 - 05/06)","Numerator","Mean Length of Stay for Emerg Admissions - 3 Yr Range(FY 06/07 - 08/09)","Numerator","Mean Length of Stay for Emerg Admissions - 3 Yr Range(FY 09/10 - 11/12)","Numerator","Median Length of Stay for Emerg Admissions(FY 01/02)","Numerator","Median Length of Stay for Emerg Admissions(FY 02/03)","Numerator","Median Length of Stay for Emerg Admissions(FY 03/04)","Numerator","Median Length of Stay for Emerg Admissions(FY 04/05)","Numerator","Median Length of Stay for Emerg Admissions(FY 05/06)","Numerator","Median Length of Stay for Emerg Admissions(FY 06/07)","Numerator","Median Length of Stay for Emerg Admissions(FY 07/08)","Numerator","Median Length of Stay for Emerg Admissions(FY 08/09)","Numerator","Median Length of Stay for Emerg Admissions(FY 09/10)","Numerator","Median Length of Stay for Emerg Admissions(FY 10/11)","Numerator","Median Length of Stay for Emerg Admissions(FY 11/12)","Numerator","Median Length of Stay for Emerg Admissions - 2 Yr Range (FY 02/03 - 03/04)","Numerator","Median Length of Stay for Emerg Admissions - 2 Yr Range (FY 04/05 - 05/06)","Numerator","Median Length of Stay for Emerg Admissions - 2 Yr Range (FY 06/07 - 07/08)","Numerator","Median Length of Stay for Emerg Admissions - 2 Yr Range (FY 08/09 - 09/10)","Numerator","Median Length of Stay for Emerg Admissions - 2 Yr Range (FY 10/11 - 11/12)","Numerator","Median Length of Stay for Emerg Admissions - 3 Yr Range(FY 03/04 - 05/06)","Numerator","Median Length of Stay for Emerg Admissions - 3 Yr Range(FY 06/07 - 08/09)","Numerator","Median Length of Stay for Emerg Admissions - 3 Yr Range(FY 09/10 - 11/12)","Numerator",
"00NA","Isle of Anglesey","8.27","11","5.43","7","5.91","11","6.92","12","3.33","6","4.18","11","1.75","4","17.50","4","7.43","7","5.17","6","1.45","11","5.72","18","5.72","18","3.53","15","11.09","11","2.76","17","5.79","29","6.47","19","4.13","24","2.00","11","3.00","7","1.00","11","3.00","12","2.00","6","4.00","11","1.50","4","9.50","4","2.00","7","4.00","6","1.00","11","2.00","18","2.50","18","2.00","15","3.00","11","1.00","17","2.00","29","3.00","19","1.00","24","4.12","66","6.86","90","3.55","78","4.86","87","5.20","75","3.89","92","3.12","109","4.43","86","4.28","71","3.73","80","2.78","95","5.32","168","5.02","162","3.47","201","4.36","157","3.21","175","4.54","240","3.76","287","3.52","246","2.00","66","2.00","90","1.00","78","2.00","87","1.00","75","1.00","92","1.00","109","1.00","86","2.00","71","2.00","80","1.00","95","1.00","168","2.00","162","1.00","201","2.00","157","1.00","175","1.00","240","1.00","287","1.00","246",
"00NC","Gwynedd","4.67","15","12.54","13","3.40","20","2.92","12","3.14","14","2.76","17","5.24","17","5.29","17","6.17","12","3.67","21","2.13","23","7.00","33","3.04","26","4.00","34","5.66","29","2.86","44","3.20","46","4.43","51","3.57","56","2.00","15","7.00","13","1.00","20","1.50","12","2.00","14","2.00","17","2.00","17","2.00","17","3.50","12","2.00","21","1.00","23","2.00","33","2.00","26","2.00","34","2.00","29","1.00","44","1.00","46","2.00","51","2.00","56","7.34","142","4.87","149","4.14","165","4.95","143","3.99","140","4.28","155","2.86","177","5.02","145","3.41","122","2.97","143","2.99","141","4.48","314","4.47","283","3.53","335","4.28","267","2.98","284","4.35","448","3.98","480","3.11","406","2.00","142","2.00","149","2.00","165","2.00","143","2.00","140","1.00","155","1.00","177","2.00","145","2.00","122","2.00","143","1.00","141","2.00","314","2.00","283","2.00","335","2.00","267","1.00","284","2.00","448","2.00","480","1.00","406",
"00NE","Conwy","4.82","40","5.71","17","10.20","25","3.67","18","13.41","17","2.50","16","2.43","14","5.05","19","6.00","10","3.10","10","6.60","10","8.38","42","8.40","35","2.47","30","5.38","29","4.85","20","9.15","60","3.47","49","5.23","30","1.00","40","2.00","17","2.00","25","2.00","18","4.00","17","2.00","16","1.50","14","3.00","19","3.50","10","1.50","10","3.00","10","2.00","42","2.00","35","2.00","30","3.00","29","2.00","20","2.00","60","2.00","49","2.00","30","3.56","162","4.75","130","5.11","150","5.13","132","4.69","118","2.69","98","3.04","115","4.36","111","4.21","111","3.66","100","3.93","107","4.95","280","4.92","250","2.88","213","4.28","222","3.80","207","4.99","400","3.39","324","3.94","318","1.00","162","2.00","130","1.00","150","1.00","132","2.00","118","1.00","98","2.00","115","2.00","111","1.00","111","1.50","100","2.00","107","2.00","280","2.00","250","2.00","213","1.00","222","2.00","207","2.00","400","2.00","324","1.00","318",
"00NG","Denbighshire","3.82","22","3.31","13","3.00","18","2.06","18","4.00","14","2.94","17","3.14","7","6.60","10","2.17","12","2.73","11","4.10","10","3.13","31","2.91","32","7.80","25","4.18","22","3.38","21","2.94","50","7.46","35","2.94","33","2.00","22","1.00","13","2.00","18","1.00","18","2.50","14","2.00","17","1.00","7","2.00","10","2.00","12","2.00","11","2.50","10","2.00","31","2.00","32","2.00","25","2.00","22","2.00","21","2.00","50","2.00","35","2.00","33","4.52","162","5.05","127","3.18","137","4.82","122","3.65","110","3.00","126","2.41","103","3.10","116","3.37","93","2.53","93","3.08","71","4.08","264","4.26","232","3.26","234","3.22","209","2.77","164","3.86","369","3.21","350","2.98","257","1.00","162","1.00","127","1.00","137","2.00","122","2.00","110","2.00","126","1.00","103","1.00","116","2.00","93","1.00","93","1.00","71","1.00","264","2.00","232","1.00","234","1.00","209","1.00","164","2.00","369","1.00","350","1.00","257",
"00NJ","Flintshire","7.92","26","4.15","13","5.69","16","1.75","12","8.15","13","2.21","14","1.87","15","6.71","14","6.29","14","1.94","17","3.17","18","5.00","29","5.08","25","2.03","29","6.50","28","2.57","35","5.32","41","3.56","43","3.63","49","2.50","26","1.00","13","4.00","16","1.00","12","4.00","13","1.50","14","1.00","15","4.00","14","2.50","14","1.00","17","1.00","18","2.00","29","2.00","25","1.00","29","3.00","28","1.00","35","2.00","41","1.00","43","1.00","49","5.77","179","3.73","169","3.93","185","3.54","166","4.30","158","2.66","169","2.47","169","3.42","177","3.56","162","2.36","149","2.82","128","3.84","354","3.91","324","2.64","342","3.49","339","2.57","277","3.92","509","2.91","519","2.94","439","2.00","179","2.00","169","2.00","185","1.00","166","2.00","158","1.00","169","1.00","169","2.00","177","1.00","162","1.00","149","1.00","128","2.00","354","1.00","324","1.00","342","1.00","339","1.00","277","2.00","509","1.00","519","1.00","439",
"00NL","Wrexham","13.95","19","4.18","17","5.78","18","4.76","17","7.36","11","2.88","16","5.27","11","6.50","10","2.36","11","5.00","20","25.60","5","5.00","35","5.79","28","3.71","28","4.33","21","9.12","25","5.78","46","4.45","38","7.06","36","4.00","19","2.00","17","2.00","18","5.00","17","2.00","11","2.50","16","3.00","11","3.50","10","2.00","11","2.00","20","1.00","5","2.00","35","2.50","28","2.50","28","3.00","21","2.00","25","2.00","46","3.00","38","2.00","36","5.81","150","5.35","144","5.01","150","4.19","140","4.31","150","2.80","126","3.53","103","3.71","126","3.16","133","3.93","132","3.98","107","5.17","294","4.25","290","3.21","248","3.42","259","3.95","239","4.51","440","3.37","374","3.67","372","2.00","150","2.00","144","1.50","150","2.00","140","2.00","150","2.00","126","1.00","103","1.50","126","1.00","133","1.00","132","1.00","107","2.00","294","2.00","290","2.00","248","1.00","259","1.00","239","2.00","440","2.00","374","1.00","372",
"00NN","Powys","6.83","35","25.67","12","4.82","11","4.88","17","8.53","19","6.54","13","2.70","10","13.56","9","5.62","21","4.77","13","4.65","17","15.70","23","6.81","36","4.87","23","8.00","30","4.70","30","6.34","47","7.31","32","5.08","51","3.00","35","2.00","12","2.00","11","3.00","17","2.00","19","4.00","13","1.00","10","2.00","9","1.00","21","4.00","13","3.00","17","2.00","23","2.50","36","1.00","23","1.50","30","3.00","30","2.00","47","1.50","32","2.00","51","5.45","233","7.95","195","4.60","209","4.16","185","5.11","212","4.21","208","4.00","202","5.81","155","6.12","182","4.59","169","3.21","179","6.22","404","4.67","397","4.11","410","5.97","337","3.88","348","4.65","606","4.58","565","4.65","530","2.00","233","2.00","195","2.00","209","2.00","185","2.00","212","2.00","208","1.00","202","1.00","155","2.00","182","1.00","169","1.00","179","2.00","404","2.00","397","2.00","410","2.00","337","1.00","348","2.00","606","2.00","565","1.00","530",
"00NQ","Ceredigion","12.38","16","15.63","8","3.86","7","2.44","9","3.91","11","3.71","7","9.72","18","3.45","11","9.67","3","5.80","5","11.29","7","10.13","15","3.25","20","8.04","25","4.79","14","9.00","12","3.41","27","6.64","36","9.13","15","3.00","16","15.00","8","2.00","7","2.00","9","2.00","11","1.00","7","2.50","18","1.00","11","9.00","3","1.00","5","8.00","7","3.00","15","2.00","20","1.00","25","1.50","14","6.00","12","2.00","27","1.00","36","8.00","15","4.77","132","5.78","97","5.75","122","3.89","105","4.82","145","3.73","141","4.52","143","4.49","124","4.61","92","2.68","96","3.63","99","5.76","219","4.43","250","4.13","284","4.54","216","3.16","195","4.86","372","4.24","408","3.62","287","2.00","132","2.00","97","2.00","122","2.00","105","2.00","145","2.00","141","1.00","143","1.00","124","2.00","92","1.00","96","1.00","99","2.00","219","2.00","250","2.00","284","1.00","216","1.00","195","2.00","372","2.00","408","2.00","287",
"00NS","Pembrokeshire","3.48","25","4.00","21","1.94","17","7.27","11","5.58","12","8.00","9","4.67","15","4.06","18","9.56","9","3.33","12","3.79","19","3.08","38","6.39","23","5.92","24","5.89","27","3.61","31","4.50","40","5.12","42","4.95","40","1.00","25","1.00","21","1.00","17","7.00","11","2.00","12","3.00","9","3.00","15","2.00","18","3.00","9","1.00","12","2.00","19","1.00","38","5.00","23","3.00","24","2.00","27","1.00","31","2.00","40","2.50","42","1.50","40","4.31","216","3.44","211","2.77","177","4.53","165","4.00","179","4.37","196","4.48","177","3.64","170","4.47","152","3.52","149","3.38","124","3.13","388","4.25","344","4.44","375","4.03","322","3.46","273","3.75","521","4.19","545","3.82","425","1.00","216","1.00","211","1.00","177","2.00","165","1.00","179","2.00","196","2.00","177","1.00","170","2.00","152","1.00","149","2.00","124","1.00","388","2.00","344","2.00","375","1.00","322","1.00","273","1.00","521","2.00","545","1.00","425",
"00NU","Carmarthenshire","5.88","24","9.94","36","4.83","18","5.82","11","9.16","19","6.82","33","7.00","27","2.82","11","4.07","14","3.52","21","2.09","11","8.24","54","7.93","30","6.90","60","3.52","25","3.03","32","6.77","48","6.27","71","3.35","46","2.00","24","4.50","36","2.00","18","3.00","11","3.00","19","3.00","33","3.00","27","1.00","11","1.00","14","2.00","21","2.00","11","3.50","54","3.00","30","3.00","60","1.00","25","2.00","32","2.50","48","2.00","71","2.00","46","6.83","258","6.00","259","5.66","248","5.45","196","5.28","195","5.14","237","4.63","219","3.16","190","3.63","178","3.74","168","5.17","181","5.82","508","5.37","391","4.90","456","3.39","368","4.48","349","5.48","639","4.39","646","4.19","527","2.00","258","2.00","259","2.00","248","2.00","196","2.00","195","2.00","237","2.00","219","1.00","190","1.00","178","1.00","168","2.00","181","2.00","508","2.00","391","2.00","456","1.00","368","2.00","349","2.00","639","2.00","646","1.00","527",
"00NX","Swansea","10.31","45","5.88","25","8.86","49","8.23","40","7.44","39","6.84","38","14.04","26","7.60","30","5.72","25","6.35","23","4.70","30","7.85","74","7.84","79","9.77","64","6.75","55","5.42","53","8.23","128","9.07","94","5.51","78","4.00","45","2.00","25","3.00","49","5.00","40","2.00","39","3.00","38","2.50","26","3.50","30","3.00","25","3.00","23","1.50","30","3.00","74","3.00","79","3.00","64","3.00","55","2.00","53","3.00","128","3.00","94","2.00","78","6.61","312","5.00","248","5.09","274","5.49","250","5.13","267","4.87","282","5.52","251","3.98","238","3.87","231","4.42","212","2.91","227","5.04","523","5.30","517","5.17","533","3.92","469","3.64","439","5.23","792","4.80","771","3.72","670","2.00","312","2.00","248","2.00","274","2.00","250","2.00","267","2.00","282","1.00","251","1.00","238","1.00","231","1.00","212","1.00","227","2.00","523","2.00","517","1.00","533","1.00","469","1.00","439","2.00","792","1.00","771","1.00","670",
"00NZ","Neath Port Talbot","10.17","23","7.46","26","5.27","22","4.23","22","11.95","20","12.74","31","7.00","17","11.29","14","10.43","7","5.89","9","12.20","10","6.46","48","7.90","42","10.71","48","11.00","21","9.21","19","7.00","64","10.84","62","9.54","26","3.00","23","3.50","26","1.50","22","2.00","22","1.00","20","5.00","31","2.00","17","3.50","14","5.00","7","2.00","9","7.00","10","2.50","48","1.50","42","4.00","48","5.00","21","3.00","19","1.50","64","4.00","62","3.50","26","5.60","176","4.62","156","7.50","157","3.89","146","5.68","172","6.77","188","5.48","124","5.19","146","4.37","125","6.20","103","3.89","124","6.08","312","4.86","318","6.25","312","4.81","271","4.94","227","5.74","474","5.91","458","4.74","352","2.00","176","2.00","156","2.00","157","2.00","146","2.00","172","2.00","188","2.00","124","1.00","146","2.00","125","1.00","103","1.00","124","2.00","312","2.00","318","2.00","312","1.00","271","1.00","227","2.00","474","2.00","458","1.00","352",
