"00PB","Bridgend","7.33","24","8.67","12","4.44","16","6.53","15","9.80","15","2.88","8","14.45","20","6.50","12","8.14","7","4.50","8","2.00","8","6.25","28","8.17","30","11.14","28","7.11","19","3.25","16","6.87","46","9.75","40","4.74","23","2.00","24","4.00","12","2.50","16","4.00","15","3.00","15","1.00","8","5.00","20","2.00","12","3.00","7","2.00","8","1.00","8","3.50","28","4.00","30","4.00","28","2.00","19","1.50","16","3.00","46","2.50","40","2.00","23","3.99","119","7.77","144","5.57","139","4.28","131","5.47","138","3.06","113","6.06","122","4.45","106","6.61","94","4.00","83","3.44","107","6.69","283","4.89","269","4.62","235","5.47","200","3.68","190","5.12","408","4.57","341","4.65","284","2.00","119","2.00","144","3.00","139","2.00","131","2.00","138","1.00","113","2.00","122","2.00","106","2.00","94","2.00","83","2.00","107","3.00","283","2.00","269","2.00","235","2.00","200","2.00","190","2.00","408","2.00","341","2.00","284",
"00PD","The Vale of Glamorgan","4.13","16","16.31","13","17.63","8","6.31","13","5.46","13","7.25","12","37.33","12","3.08","12","8.07","15","5.40","15","6.40","10","16.81","21","5.88","26","22.29","24","5.85","27","5.80","25","8.65","34","15.89","36","6.65","40","1.50","16","6.00","13","13.00","8","3.00","13","2.00","13","1.50","12","7.00","12","2.00","12","4.00","15","2.00","15","4.50","10","9.00","21","2.50","26","4.50","24","2.00","27","3.00","25","3.50","34","3.50","36","3.50","40","4.73","109","7.46","68","8.25","64","4.95","93","4.82","89","4.23","115","7.88","93","3.66","105","3.14","109","4.72","89","3.63","86","7.84","132","4.88","182","5.87","208","3.39","214","4.18","175","5.76","246","5.12","313","3.78","284","2.00","109","4.00","68","4.00","64","3.00","93","2.00","89","1.00","115","1.00","93","2.00","105","1.00","109","2.00","89","2.00","86","4.00","132","2.00","182","1.00","208","1.00","214","2.00","175","3.00","246","1.00","313","2.00","284",
"00PF","Rhondda Cynon Taff","6.76","21","7.66","38","11.21","29","6.70","43","7.04","48","8.04","52","9.92","37","8.02","42","3.75","28","3.89","46","5.21","38","9.19","67","6.88","91","8.82","89","6.31","70","4.49","84","7.93","120","8.56","131","4.30","112","6.00","21","3.50","38","7.00","29","2.00","43","3.00","48","2.50","52","2.00","37","2.00","42","2.50","28","2.00","46","2.00","38","4.00","67","3.00","91","2.00","89","2.00","70","2.00","84","4.00","120","2.00","131","2.00","112","4.42","205","5.59","220","6.79","258","6.49","329","5.16","305","5.14","315","5.11","332","4.73","284","3.42","243","3.14","240","3.30","255","6.24","478","5.84","633","5.13","646","4.13","527","3.22","495","6.11","891","5.01","930","3.29","738","1.00","205","2.00","220","2.00","258","2.00","329","2.00","305","2.00","315","2.00","332","2.00","284","2.00","243","1.00","240","1.00","255","2.00","478","2.00","633","2.00","646","2.00","527","1.00","495","2.00","891","2.00","930","1.00","738",
"00PH","Merthyr Tydfil","9.69","13","8.00","9","4.70","10","9.17","6","8.36","11","6.00","6","9.00","15","6.10","10","4.79","14","4.42","12","2.14","7","6.26","19","8.65","17","8.14","21","5.33","24","3.58","19","7.19","27","7.48","31","4.09","33","4.00","13","1.00","9","2.50","10","3.00","6","3.00","11","6.00","6","5.00","15","1.50","10","1.00","14","1.00","12","1.00","7","2.00","19","3.00","17","5.00","21","1.00","24","1.00","19","3.00","27","3.00","31","1.00","33","11.58","76","9.10","83","6.32","105","6.05","83","7.38","102","7.43","97","4.55","94","3.74","73","3.48","69","2.72","74","2.89","54","7.55","188","6.78","185","6.02","191","3.61","142","2.79","128","6.62","290","5.39","264","3.03","197","3.00","76","3.00","83","3.00","105","3.00","83","2.00","102","2.00","97","2.00","94","2.00","73","1.00","69","1.00","74","1.00","54","3.00","188","2.00","185","2.00","191","2.00","142","1.00","128","2.00","290","2.00","264","1.00","197",
"00PK","Caerphilly","5.38","29","5.77","30","7.23","30","4.10","21","9.77","26","3.46","35","7.78","27","15.52","23","3.15","26","5.69","26","5.11","18","6.50","60","7.23","47","5.34","62","8.96","49","5.45","44","7.23","77","8.09","85","4.60","70","3.00","29","3.50","30","2.50","30","2.00","21","3.00","26","2.00","35","4.00","27","3.00","23","1.50","26","2.00","26","2.00","18","3.00","60","2.00","47","2.00","62","2.00","49","2.00","44","2.00","77","2.00","85","2.00","70","14.09","160","6.13","193","5.11","194","4.62","189","5.64","238","3.18","244","4.97","219","5.34","213","3.72","172","3.35","168","3.44","181","5.62","387","5.19","427","4.02","464","4.61","385","3.40","349","5.16","621","4.43","677","3.50","521","2.00","160","2.00","193","2.00","194","2.00","189","2.00","238","2.00","244","2.00","219","2.00","213","1.00","172","1.00","168","1.00","181","2.00","387","2.00","427","2.00","464","2.00","385","1.00","349","2.00","621","2.00","677","1.00","521",
"00PL","Blaenau Gwent","79.43","14","5.13","8","3.79","14","3.92","13","9.00","10","3.00","11","5.08","13","1.00","7","3.10","10","8.57","7","6.20","5","4.27","22","6.13","23","4.13","24","2.24","17","7.58","12","5.24","37","3.42","31","5.55","22","2.00","14","6.50","8","2.50","14","2.00","13","2.00","10","2.00","11","2.00","13","0.00","7","2.00","10","2.00","7","3.00","5","3.00","22","2.00","23","2.00","24","1.00","17","2.50","12","2.00","37","2.00","31","2.50","22","15.86","101","5.19","106","4.31","95","3.39","94","5.47","110","3.09","99","3.20","95","3.13","80","2.90","72","3.73","62","4.60","40","4.77","201","4.51","204","3.27","195","3.02","152","4.07","102","4.45","299","3.23","275","3.59","174","2.00","101","1.00","106","2.00","95","2.00","94","2.00","110","1.00","99","1.00","95","1.00","80","1.00","72","1.00","62","2.00","40","2.00","201","2.00","204","1.00","195","1.00","152","2.00","102","2.00","299","1.00","275","1.00","174",
"00PM","Torfaen","5.06","16","4.39","18","7.25","8","4.20","15","3.78","9","3.55","11","3.00","10","6.44","9","4.50","14","9.55","11","2.45","11","5.27","26","4.04","24","3.91","22","5.26","23","6.00","22","4.84","32","4.65","31","5.42","36","1.50","16","1.00","18","2.00","8","1.00","15","1.00","9","1.00","11","1.00","10","1.00","9","3.00","14","3.00","11","1.00","11","2.00","26","1.00","24","1.00","22","3.00","23","2.00","22","2.00","32","1.00","31","2.50","36","4.56","96","5.44","107","3.68","116","3.81","110","3.03","105","3.56","116","3.64","104","3.15","94","4.09","92","4.19","75","2.44","84","4.54","222","3.43","215","3.66","221","3.61","186","3.26","159","3.52","330","3.51","315","3.57","251","2.00","96","2.00","107","1.00","116","1.00","110","1.00","105","1.00","116","1.00","104","1.00","94","2.00","92","1.00","75","1.00","84","1.00","222","1.00","215","1.00","221","1.00","186","1.00","159","1.00","330","1.00","315","1.00","251",
"00PP","Monmouthshire","19.73","11","6.00","9","6.71","14","8.58","12","5.44","9","4.67","3","9.50","4","2.40","5","3.50","4","9.13","8","3.80","5","6.43","23","7.24","21","7.43","7","2.89","9","7.08","13","7.03","35","5.33","12","6.24","17","2.00","11","2.00","9","5.50","14","4.50","12","2.00","9","1.00","3","10.50","4","0.00","5","2.50","4","6.00","8","2.00","5","4.00","23","4.00","21","7.00","7","1.00","9","4.00","13","5.00","35","1.50","12","4.00","17","6.25","118","5.96","131","4.22","137","4.57","130","4.77","140","4.42","99","3.27","103","5.23","81","3.13","89","3.96","117","3.38","80","5.06","269","4.67","270","3.82","203","4.14","170","3.72","197","4.51","408","4.23","284","3.54","286","2.00","118","2.00","131","2.00","137","1.50","130","2.00","140","2.00","99","1.00","103","1.00","81","1.00","89","1.00","117","1.00","80","2.00","269","2.00","270","1.00","203","1.00","170","1.00","197","2.00","408","1.00","284","1.00","286",
"00PR","Newport","5.72","29","5.35","34","5.53","34","6.86","21","7.32","25","6.48","25","5.08","24","3.88","26","3.79","14","6.00","27","3.32","22","5.44","68","7.11","46","5.80","49","3.85","40","4.80","49","6.44","80","5.13","75","4.57","63","3.00","29","4.00","34","1.00","34","3.00","21","1.00","25","2.00","25","2.00","24","1.00","26","2.00","14","2.00","27","2.00","22","2.00","68","3.00","46","2.00","49","1.50","40","2.00","49","2.00","80","2.00","75","2.00","63","28.24","153","4.37","146","5.55","145","3.72","144","5.53","163","3.20","188","3.36","169","3.07","169","3.45","114","2.89","142","2.41","147","4.96","291","4.68","307","3.27","357","3.22","283","2.64","289","4.96","452","3.21","526","2.87","403","1.00","153","2.00","146","1.00","145","2.00","144","2.00","163","1.00","188","1.00","169","1.00","169","1.00","114","1.00","142","1.00","147","1.00","291","2.00","307","1.00","357","1.00","283","1.00","289","1.00","452","1.00","526","1.00","403",
"00PT","Cardiff","10.18","67","8.59","34","10.73","22","7.18","28","7.88","60","11.86","35","5.73","62","6.53","58","5.18","33","3.39","28","4.00","22","9.43","56","7.66","88","7.94","97","6.04","91","3.66","50","8.27","110","7.41","155","4.27","83","5.00","67","4.00","34","4.50","22","4.50","28","2.00","60","3.00","35","2.50","62","2.00","58","3.00","33","2.00","28","1.50","22","4.00","56","3.00","88","3.00","97","3.00","91","2.00","50","3.00","110","2.00","155","2.00","83","6.51","302","7.67","162","7.18","120","5.99","199","6.29","300","5.14","272","4.26","309","4.92","287","3.70","273","2.96","229","3.51","219","7.46","282","6.18","500","4.66","582","4.33","560","3.23","448","6.37","620","4.75","869","3.41","721","2.00","302","3.00","162","3.00","120","2.00","199","2.00","300","2.00","272","1.00","309","1.00","287","1.00","273","1.00","229","1.00","219","3.00","282","2.00","500","2.00","582","1.00","560","1.00","448","2.00","620","1.00","869","1.00","721",
"Wales","Wales","9.57","543","7.69","414","6.76","417","5.59","387","7.70","421","6.36","421","7.99","406","6.89","371","5.12","312","4.84","358","4.72","317","7.22","831","6.69","808","7.31","830","6.08","683","4.78","675","6.71","1225","7.18","1201","4.89","987","3.00","543","3.00","414","2.00","417","3.00","387","2.00","421","2.00","421","2.00","406","2.00","371","2.00","312","2.00","358","2.00","317","2.00","831","2.00","808","2.00","830","2.00","683","2.00","675","2.00","1225","2.00","1201","2.00","987","7.23","3633","5.68","3343","5.12","3430","4.82","3345","5.07","3622","4.27","3688","4.30","3552","4.25","3298","3.93","2989","3.60","2878","3.39","2841","5.39","6774","4.95","6967","4.31","7276","4.10","6287","3.50","5719","5.01","10397","4.29","10574","3.65","8708","2.00","3633","2.00","3343","2.00","3430","2.00","3345","2.00","3622","2.00","3688","1.00","3552","1.00","3298","1.00","2989","1.00","2878","1.00","2841","2.00","6774","2.00","6967","2.00","7276","1.00","6287","1.00","5719","2.00","10397","2.00","10574","1.00","8708",
"7A1","Betsi Cadwaladr ULHB","6.83","133","5.82","80","5.90","108","3.63","89","7.13","75","2.86","91","5.16","70","6.50","74","4.94","66","3.90","86","4.64","77","5.87","188","5.23","164","3.86","161","5.76","140","4.25","163","5.50","272","4.69","235","4.45","229","2.00","133","2.00","80","2.00","108","2.00","89","2.00","75","2.00","91","2.00","70","3.00","74","2.00","66","2.00","86","1.00","77","2.00","188","2.00","164","2.00","161","3.00","140","1.00","163","2.00","272","2.00","235","2.00","229","5.26","861","4.95","809","4.21","865","4.52","790","4.30","751","3.22","766","3.09","807","3.98","761","3.60","695","3.19","701","3.25","653","4.57","1674","4.41","1541","3.15","1573","3.80","1456","3.22","1354","4.34","2406","3.42","2334","3.35","2049","2.00","861","2.00","809","1.00","865","2.00","790","2.00","751","1.00","766","1.00","807","2.00","761","1.00","695","1.00","701","1.00","653","2.00","1674","2.00","1541","1.00","1573","1.00","1456","1.00","1354","2.00","2406","1.00","2334","1.00","2049",
"7A2","Hywel Dda LHB","6.55","65","8.72","65","3.50","42","5.35","31","6.76","42","6.59","49","7.23","60","3.55","40","6.62","26","3.67","39","4.70","37","6.67","107","6.16","73","6.94","109","4.76","66","4.17","76","5.19","115","6.03","149","4.79","102","2.00","65","3.00","65","2.00","42","3.00","31","2.00","42","2.00","49","3.00","60","1.00","40","2.00","26","2.00","39","2.00","37","2.00","107","3.00","73","3.00","109","1.00","66","2.00","76","2.00","115","2.00","149","2.00","102","5.48","606","5.00","568","4.74","547","4.77","466","4.71","519","4.53","574","4.57","541","3.67","484","4.14","423","3.41","414","4.24","404","4.88","1115","4.74","985","4.55","1115","3.89","907","3.82","818","4.74","1532","4.28","1599","3.93","1241","2.00","606","2.00","568","2.00","547","2.00","466","2.00","519","2.00","574","2.00","541","1.00","484","2.00","423","1.00","414","2.00","404","2.00","1115","2.00","985","2.00","1115","1.00","907","1.00","818","2.00","1532","2.00","1599","1.00","1241",
"7A3","Abertawe Bro Morgannwg ULHB","9.50","92","7.06","63","7.14","87","6.75","77","9.14","74","8.81","77","12.27","63","8.29","56","7.00","39","5.88","40","5.81","48","7.11","150","7.92","151","10.36","140","7.76","95","5.84","88","7.63","238","9.77","196","6.20","127","3.00","92","3.00","63","3.00","87","4.00","77","2.00","74","3.00","77","4.00","63","2.50","56","3.00","39","2.00","40","2.00","48","3.00","150","3.00","151","3.00","140","3.00","95","2.00","88","3.00","238","3.00","196","2.00","127","5.80","606","5.62","548","5.87","570","4.75","527","5.38","577","5.13","583","5.64","497","4.44","490","4.57","451","4.79","398","3.30","458","5.75","1118","5.08","1104","5.36","1080","4.50","941","3.99","856","5.35","1674","5.08","1570","4.19","1307","2.00","606","2.00","548","2.00","570","2.00","527","2.00","577","2.00","583","2.00","497","1.50","490","1.00","451","1.00","398","1.00","458","2.00","1118","2.00","1104","2.00","1080","1.00","941","1.00","856","2.00","1674","2.00","1570","1.00","1307",
"7A4","Cardiff and  Vale ULHB","9.01","83","10.72","47","12.57","30","6.90","41","7.45","73","10.68","47","10.85","74","5.94","70","6.08","48","4.09","43","4.75","32","11.44","77","7.25","114","10.79","121","6.00","118","4.37","75","8.36","144","9.01","191","5.04","123","5.00","83","5.00","47","6.00","30","4.00","41","2.00","73","2.00","47","3.00","74","2.00","70","3.00","48","2.00","43","2.00","32","5.00","77","3.00","114","3.00","121","2.50","118","2.00","75","3.00","144","3.00","191","2.00","123","6.04","411","7.60","230","7.55","184","5.66","292","5.96","390","4.86","388","5.09","402","4.58","392","3.54","382","3.45","318","3.54","305","7.58","414","5.83","682","4.98","790","4.07","774","3.50","623","6.20","866","4.85","1182","3.51","1005","2.00","411","3.00","230","3.00","184","2.00","292","2.00","390","2.00","388","1.00","402","1.00","392","1.00","382","1.00","318","1.00","305","3.00","414","2.00","682","1.00","790","1.00","774","1.00","623","2.00","866","1.00","1182","1.00","1005",
"7A5","Cwm Taf LHB","7.88","34","7.72","47","9.54","39","7.00","49","7.29","59","7.83","58","9.65","52","7.65","52","4.02","43","4.00","58","4.73","45","8.55","86","7.16","108","8.69","110","6.01","95","4.32","103","7.79","147","8.36","162","4.23","146","4.00","34","3.00","47","5.00","39","2.00","49","3.00","59","3.00","58","3.00","52","2.00","52","2.00","43","2.00","58","2.00","45","4.00","86","3.00","108","3.00","110","2.00","95","2.00","103","4.00","147","2.00","162","2.00","146","6.36","281","6.55","303","6.66","363","6.40","412","5.70","406","5.69","411","4.99","426","4.53","357","3.42","313","3.04","314","3.23","309","6.61","666","6.05","818","5.33","837","4.01","670","3.13","623","6.24","1181","5.09","1194","3.23","936","2.00","281","2.00","303","3.00","363","2.00","412","2.00","406","2.00","411","2.00","426","2.00","357","2.00","313","1.00","314","1.00","309","2.00","666","2.00","818","2.00","837","2.00","670","1.00","623","2.00","1181","2.00","1194","1.00","936",
"7A6","Aneurin Bevan LHB","17.49","99","5.34","99","6.10","100","5.45","82","7.72","79","4.34","85","6.11","79","7.64","70","3.54","69","6.94","79","3.97","61","5.72","199","6.57","161","5.20","164","5.60","139","5.64","140","6.39","261","5.93","234","4.95","209","2.00","99","3.00","99","2.00","100","2.50","82","2.00","79","2.00","85","3.00","79","2.00","70","2.00","69","3.00","79","2.00","61","2.00","199","2.00","161","2.00","164","2.00","139","2.00","140","2.00","261","2.00","234","2.00","209","14.89","628","5.47","683","4.67","687","4.11","667","5.07","756","3.40","746","3.92","694","4.12","637","3.51","542","3.51","564","3.08","533","5.07","1370","4.62","1423","3.65","1440","3.84","1179","3.30","1097","4.64","2110","3.79","2077","3.37","1639","2.00","628","2.00","683","1.00","687","2.00","667","2.00","756","1.00","746","1.00","694","1.00","637","1.00","542","1.00","564","1.00","533","2.00","1370","2.00","1423","1.00","1440","1.00","1179","1.00","1097","2.00","2110","1.00","2077","1.00","1639",
"7A7","Powys LHB","6.83","35","25.67","12","4.82","11","4.88","17","8.53","19","6.54","13","2.70","10","13.56","9","5.62","21","4.77","13","4.65","17","15.70","23","6.81","36","4.87","23","8.00","30","4.70","30","6.34","47","7.31","32","5.08","51","3.00","35","2.00","12","2.00","11","3.00","17","2.00","19","4.00","13","1.00","10","2.00","9","1.00","21","4.00","13","3.00","17","2.00","23","2.50","36","1.00","23","1.50","30","3.00","30","2.00","47","1.50","32","2.00","51","5.45","234","7.95","195","4.60","209","4.16","185","5.11","212","4.21","208","4.00","202","5.81","155","6.09","183","4.59","169","3.21","179","6.22","404","4.67","397","4.11","410","5.96","338","3.88","348","4.65","606","4.58","565","4.64","531","2.00","234","2.00","195","2.00","209","2.00","185","2.00","212","2.00","208","1.00","202","1.00","155","2.00","183","1.00","169","1.00","179","2.00","404","2.00","397","2.00","410","2.00","338","1.00","348","2.00","606","2.00","565","1.00","531",
